ID,Title,Host_IP,Host_Name,Event_Time,Location
"=HYPERLINK(""https://app.squadcast.com/incident/691fa3ec94ce8603392db195"",""691fa3ec94ce8603392db195"")",Unavailable by ICMP ping,10.27.3.10,CHN_Guindy_Fortigate_Firewall,04:57:36,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691fa3e604b6fd9019e3594d"",""691fa3e604b6fd9019e3594d"")",Unavailable by ICMP ping,10.27.7.62,CHN_GDY_Recreation Area_AP,04:57:31,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691f93a594ce8603392d846b"",""691f93a594ce8603392d846b"")",Interface tunnel.7(IDR-MNL_Backup): Link down,10.24.3.10,IDR-PA_FW_Virtual,03:48:12,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691f8af894ce8603392d6c7b"",""691f8af894ce8603392d6c7b"")",Interface tunnel.7(IDR-MNL_Backup): Link down,10.24.3.10,IDR-PA_FW_Virtual,03:11:12,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691f5e7194ce8603392cead2"",""691f5e7194ce8603392cead2"")",Interface tunnel.7(IDR-MNL_Backup): Link down,10.24.3.10,IDR-PA_FW_Virtual,00:01:12,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691f33f304b6fd9019e20e88"",""691f33f304b6fd9019e20e88"")",Interface tunnel.7(IDR-MNL_Backup): Link down,10.24.3.8,IDR-PA-Primary_FW,20:59:50,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691f064094ce8603392be603"",""691f064094ce8603392be603"")",Unavailable by ICMP ping,47.29.3.148,IDR_JIO_ISP_FW_Interface,17:44:52,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691f063f94ce8603392be601"",""691f063f94ce8603392be601"")",Unavailable by ICMP ping,47.29.3.146,IDR_JIO_RF-PATH_ISP,17:44:51,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691f063f94ce8603392be5ff"",""691f063f94ce8603392be5ff"")",Unavailable by ICMP ping,47.29.3.145,IDR_JIO_Fiber-PATH_ISP,17:44:50,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691f060394ce8603392be59c"",""691f060394ce8603392be59c"")",Interface tunnel.2(IDR_CHN_Backup): Link down,10.24.3.8,IDR-PA-Primary_FW,17:43:50,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691f05dd04b6fd9019e185e9"",""691f05dd04b6fd9019e185e9"")",Interface tunnel.2(IDR_CHN_Backup): Link down,10.24.3.10,IDR-PA_FW_Virtual,17:43:12,idr
